product,revenue
product_1,430191
product_10,564200
product_11,1263255
product_12,146615
product_14,422059
product_15,2865229
product_19,240560
product_2,2297144
product_22,423325
product_24,1429697
product_25,255990
product_28,169766
product_3,411324
product_30,124875
product_31,20706
product_32,850108
product_33,697573
product_35,696600
product_36,134232
product_37,382373
product_38,58098
product_39,1503270
product_4,1164760
product_40,172250
product_41,4018
product_44,1182599
product_45,1791273
product_49,1207738
product_5,198033
product_50,1324
product_6,8395
product_7,235421
