order_id,customer_id,order_date,product,quantity,price
order_46,customer_14,2022-02-12,product_3,906,454
order_17,customer_46,2022-02-10,product_35,430,1620
order_32,customer_47,2022-09-30,product_2,928,167
order_3,customer_38,2022-10-07,product_19,496,485
order_30,customer_26,2022-06-13,product_39,443,1697
order_43,customer_25,2022-09-20,product_39,306,991
order_3,customer_39,2022-03-29,product_24,361,1646
order_24,customer_50,2022-04-24,product_50,662,2
order_47,customer_21,2022-09-23,product_4,690,96
order_9,customer_11,2022-05-21,product_15,314,814
order_33,customer_48,2022-05-30,product_39,533,841
order_6,customer_36,2022-01-20,product_45,105,1445
order_23,customer_17,2022-01-17,product_44,693,683
order_19,customer_21,2022-06-28,product_4,947,1160
order_36,customer_36,2022-11-25,product_30,999,125
order_36,customer_17,2022-03-11,product_36,84,1598
order_42,customer_7,2022-06-06,product_40,178,941
order_10,customer_15,2022-01-10,product_15,964,1610
order_13,customer_26,2022-07-15,product_2,919,585
order_44,customer_8,2022-09-30,product_37,264,250
order_13,customer_32,2022-11-22,product_32,626,1358
order_16,customer_44,2022-09-27,product_31,34,609
order_18,customer_37,2022-03-28,product_25,345,742
order_15,customer_37,2022-03-31,product_37,107,1078
order_14,customer_41,2022-01-17,product_33,674,98
order_18,customer_22,2022-06-01,product_28,243,426
order_24,customer_21,2022-03-21,product_10,364,1550
order_9,customer_30,2022-08-14,product_24,61,1339
order_27,customer_14,2022-03-17,product_40,12,396
order_48,customer_41,2022-03-13,product_12,497,295
order_18,customer_45,2022-08-25,product_5,187,1059
order_30,customer_20,2022-10-31,product_22,287,1475
order_15,customer_9,2022-02-12,product_37,593,339
order_36,customer_42,2022-02-18,product_11,795,1589
order_23,customer_13,2022-03-19,product_24,796,947
order_9,customer_35,2022-07-05,product_1,423,1017
order_40,customer_19,2022-07-26,product_38,842,69
order_9,customer_20,2022-11-05,product_6,115,73
order_24,customer_40,2022-07-16,product_2,783,1305
order_28,customer_35,2022-04-08,product_2,806,723
order_22,customer_48,2022-01-24,product_45,846,1938
order_24,customer_50,2022-06-26,product_44,880,806
order_28,customer_17,2022-11-21,product_41,41,98
order_25,customer_34,2022-03-21,product_33,91,716
order_44,customer_40,2022-07-26,product_49,614,1967
order_18,customer_39,2022-04-06,product_7,397,593
order_1,customer_34,2022-08-28,product_33,499,1135
order_21,customer_26,2022-09-03,product_28,52,1274
order_9,customer_36,2022-04-26,product_15,681,1553
order_3,customer_23,2022-04-30,product_14,671,629
